,property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
0,0.0,36.0,3.0,2.0,2.0,1.0,850.0,0.0,0.0,0.0,1.0,1.0,0.82
1,0.0,95.0,2.0,2.0,2.0,1.0,1226.0,1.0,0.0,0.0,1.0,2.0,0.95
2,0.0,103.0,2.0,2.0,1.0,1.0,1000.0,0.0,0.0,0.0,1.0,0.0,0.32
3,0.0,99.0,3.0,4.0,4.0,3.0,1615.0,1.0,0.0,1.0,0.0,2.0,1.6
4,0.0,5.0,2.0,2.0,1.0,3.0,582.0,0.0,1.0,0.0,0.0,2.0,0.48
5,0.0,1.0,4.0,4.0,4.0,1.0,4842.0,1.0,0.0,1.0,1.0,0.0,7.5
6,0.0,11.0,3.0,3.0,4.0,3.0,2116.0,1.0,0.0,0.0,2.0,0.0,2.0
7,0.0,5.0,3.0,4.0,3.0,3.0,1710.0,1.0,0.0,0.0,0.0,2.0,1.9
8,1.0,8.0,3.0,2.0,1.0,2.0,1185.51,0.0,0.0,0.0,1.0,1.0,1.2
9,1.0,29.0,3.0,3.0,2.0,0.0,1350.0,1.0,0.0,0.0,2.0,1.0,4.5
10,1.0,12.0,3.0,2.0,0.0,3.0,2360.0,0.0,0.0,0.0,1.0,1.0,1.55
11,0.0,31.0,2.0,2.0,2.0,3.0,1222.0,0.0,0.0,0.0,2.0,2.0,1.6
12,0.0,12.0,3.0,4.0,3.0,3.0,2339.0,1.0,0.0,0.0,2.0,0.0,2.25
13,0.0,67.0,4.0,4.0,4.0,3.0,2194.0,1.0,0.0,2.0,0.0,2.0,2.77
14,1.0,18.0,2.0,4.0,2.0,3.0,846.0,0.0,0.0,1.0,1.0,1.0,1.2
15,0.0,99.0,3.0,4.0,3.0,3.0,1805.0,1.0,0.0,1.0,2.0,0.0,1.55
16,0.0,91.0,2.0,2.0,3.0,3.0,1638.0,0.0,1.0,0.0,0.0,2.0,1.09
17,0.0,75.0,2.0,2.0,3.0,1.0,1400.0,0.0,0.0,0.0,2.0,2.0,1.15
18,0.0,91.0,3.0,4.0,4.0,1.0,2179.0,0.0,1.0,0.0,2.0,2.0,1.77
19,0.0,33.0,2.0,2.0,1.0,2.0,734.0,0.0,0.0,1.0,1.0,1.0,0.85
20,0.0,10.0,2.0,2.0,4.0,3.0,1236.0,0.0,0.0,1.0,1.0,2.0,0.9
21,0.0,32.0,2.0,2.0,3.0,4.0,1307.0,0.0,0.0,0.0,2.0,1.0,1.2
22,0.0,23.0,1.0,1.0,1.0,0.0,665.0,0.0,0.0,1.0,2.0,2.0,0.6
23,1.0,43.0,8.0,5.0,4.0,2.0,3240.0,1.0,1.0,1.0,1.0,2.0,9.0
24,1.0,43.0,7.0,7.0,4.0,0.0,2475.0,1.0,1.0,2.0,0.0,2.0,7.0
25,0.0,31.0,4.0,2.0,4.0,2.0,1382.0,0.0,0.0,0.0,1.0,1.0,0.9
26,1.0,41.0,1.0,1.0,0.0,0.0,450.0,0.0,0.0,0.0,1.0,1.0,0.4
27,1.0,12.0,4.0,4.0,4.0,1.0,5400.0,1.0,0.0,1.0,1.0,1.0,5.65
28,0.0,64.0,2.0,2.0,3.0,4.0,1676.0,0.0,0.0,0.0,2.0,0.0,2.15
29,1.0,49.0,6.0,6.0,3.0,0.0,2880.0,1.0,1.0,2.0,2.0,2.0,4.4
30,0.0,86.0,2.0,2.0,3.0,3.0,1361.0,0.0,0.0,1.0,2.0,0.0,0.64
31,0.0,67.0,3.0,3.0,3.0,4.0,2267.0,1.0,0.0,0.0,1.0,0.0,2.86
32,0.0,68.0,3.0,3.0,3.0,0.0,2125.0,1.0,1.0,1.0,2.0,2.0,3.5
33,1.0,95.0,2.0,2.0,2.0,1.0,1297.0,0.0,0.0,0.0,1.0,0.0,0.7
34,0.0,92.0,3.0,3.0,4.0,3.0,1780.0,1.0,0.0,0.0,0.0,0.0,1.54
35,1.0,48.0,4.0,4.0,4.0,3.0,2160.0,1.0,1.0,1.0,0.0,2.0,8.25
36,1.0,12.0,5.0,6.0,4.0,0.0,2430.0,1.0,0.0,0.0,1.0,1.0,6.1
37,0.0,52.0,4.0,4.0,3.0,3.0,2300.0,0.0,0.0,0.0,2.0,1.0,2.1
38,0.0,37.0,3.0,3.0,3.0,3.0,1563.0,0.0,0.0,0.0,1.0,1.0,1.25
39,0.0,15.0,2.0,2.0,2.0,3.0,773.0,0.0,0.0,0.0,2.0,2.0,0.7
40,0.0,69.0,3.0,3.0,3.0,0.0,2047.0,1.0,0.0,2.0,1.0,2.0,2.8
41,1.0,31.0,4.0,3.0,3.0,2.0,1800.0,0.0,0.0,1.0,1.0,1.0,5.5
42,0.0,15.0,3.0,4.0,2.0,0.0,2200.0,1.0,0.0,0.0,2.0,2.0,2.58
43,0.0,17.0,3.0,3.0,4.0,3.0,2460.0,1.0,0.0,0.0,0.0,2.0,3.0
44,1.0,19.0,3.0,6.0,2.0,2.0,115.0,0.0,0.0,0.0,1.0,2.0,1.25
45,0.0,63.0,3.0,2.0,3.0,4.0,1534.0,0.0,0.0,0.0,2.0,2.0,2.1
46,0.0,17.0,3.0,3.0,3.0,3.0,2014.0,0.0,0.0,0.0,2.0,2.0,2.45
47,0.0,72.0,3.0,3.0,1.0,3.0,1709.0,0.0,0.0,0.0,0.0,0.0,1.38
48,0.0,95.0,3.0,2.0,0.0,1.0,1423.0,0.0,0.0,0.0,1.0,2.0,1.71
49,0.0,70.0,3.0,4.0,3.0,1.0,1941.0,0.0,1.0,1.0,0.0,2.0,1.85
50,0.0,38.0,2.0,2.0,3.0,1.0,625.0,0.0,0.0,0.0,1.0,2.0,0.6
51,0.0,87.0,2.0,2.0,2.0,3.0,1176.0,0.0,0.0,1.0,2.0,0.0,0.81
52,0.0,54.0,3.0,3.0,4.0,4.0,2617.0,0.0,0.0,0.0,1.0,1.0,5.6
53,0.0,79.0,2.0,2.0,3.0,3.0,1300.0,0.0,1.0,0.0,0.0,0.0,1.5
54,0.0,38.0,3.0,3.0,3.0,3.0,1639.0,0.0,0.0,0.0,2.0,2.0,1.45
55,0.0,11.0,3.0,4.0,3.0,0.0,1771.32,0.0,0.0,1.0,2.0,2.0,1.65
56,0.0,53.0,1.0,1.0,0.0,0.0,513.0,0.0,0.0,1.0,1.0,1.0,0.45
57,0.0,18.0,2.0,2.0,1.0,0.0,737.0,0.0,0.0,0.0,1.0,1.0,0.35
58,1.0,44.0,4.0,4.0,2.0,4.0,2430.0,1.0,1.0,2.0,0.0,2.0,5.75
59,0.0,91.0,2.0,2.0,3.0,3.0,1485.0,0.0,0.0,0.0,1.0,2.0,1.12
60,0.0,36.0,2.0,2.0,2.0,3.0,856.0,0.0,0.0,0.0,1.0,2.0,0.75
61,0.0,95.0,1.0,1.0,1.0,1.0,430.0,0.0,0.0,0.0,2.0,2.0,0.25
62,1.0,41.0,3.0,2.0,1.0,0.0,783.0,0.0,0.0,0.0,1.0,1.0,0.67
63,0.0,23.0,1.0,1.0,2.0,0.0,723.0,0.0,0.0,0.0,2.0,2.0,0.56
64,0.0,75.0,3.0,4.0,4.0,3.0,1706.0,0.0,0.0,2.0,1.0,0.0,1.75
65,1.0,20.0,5.0,4.0,2.0,2.0,2250.0,0.0,0.0,1.0,2.0,1.0,4.15
66,0.0,69.0,3.0,4.0,3.0,3.0,2134.0,1.0,0.0,1.0,0.0,0.0,3.4
67,0.0,86.0,3.0,3.0,4.0,3.0,1617.0,1.0,0.0,2.0,1.0,0.0,2.3
68,1.0,28.0,2.0,9.0,3.0,3.0,1961.0,0.0,1.0,1.0,2.0,2.0,7.6
